Repetição,KNR,SVR,MLP,RF,GB,RLM
1,2362910.7527,1293636.4432,1919765.0290,3080180.8735,3159664.8813,3407569.7836
2,1801077.4866,1210384.1891,2565830.0155,2275887.6078,2473774.1609,2551810.5061
3,2096760.4839,1646528.0834,34220215883.8114,2487425.2506,2431826.6484,2906342.1542
4,1855972.3118,1089904.4186,1304395.6741,2038790.3284,2042331.8258,29482143.3301
5,3126651.6129,1637064.1092,24166098.2816,2684793.5318,2722556.1063,3193065.1964
6,2490165.5242,1833654.1663,46132621.0036,2655749.6341,2711308.2664,2975955.0586
7,1975137.6344,1518661.4781,1993506.3486,2562335.4239,2653986.1934,2844965.1166
8,1975355.1075,1321821.0706,5214788.8557,2063598.3684,2115759.2309,2431535.3159
9,2009497.5330,1668248.4818,25405354.2118,2485072.2053,2479077.6754,2884837.6101
10,2942436.2303,1251203.2931,2667620.0034,3204466.7185,3252793.5752,4338785.0486
11,2187160.4839,1962377.7624,3713341.4309,2937984.6520,3046944.9186,5851130.0006
12,2529367.7419,1430454.5801,3330559.9988,2234239.3957,2213635.6207,2446520.1288
13,1920446.1768,1605876.3315,3455153.1895,2256765.9766,2412353.9267,2355393.2965
14,2990460.2151,1460265.3040,26132547.4863,2993394.9954,2867239.6196,2855522.1486
15,3098079.5699,2620757.0896,2870942.4932,3474484.9981,3556257.5730,5023684.7378
16,2382954.9059,1706539.0031,2601769.9558,2923041.8065,3032467.0730,3794874.2837
17,1660659.3124,1325222.7172,2156942.5864,2297260.0314,2450162.1412,2965845.1904
18,1060687.1579,863965.5777,2256964.8424,2182533.8253,2097983.8745,2559359.9989
19,1851633.9098,1186718.0570,2678457.5970,2366399.1500,2527262.1857,4795459.2196
20,2599769.0860,1913141.0805,9062066.9717,2568111.3464,2596199.1868,3359808.9608
