Repetição,KNR,SVR,MLP,RF,GB,RLM
1,1537.1762,1137.3814,1385.5559,1755.0444,1777.5446,1845.9604
2,1342.0423,1100.1746,1601.8208,1508.6045,1572.8236,1597.4387
3,1448.0195,1283.1711,184987.0695,1577.1573,1559.4315,1704.7997
4,1362.3407,1043.9849,1142.1014,1427.8622,1429.1018,5429.7462
5,1768.2340,1279.4781,4915.9026,1638.5340,1650.0170,1786.9150
6,1578.0258,1354.1249,6792.0999,1629.6471,1646.6051,1725.0957
7,1405.3959,1232.3398,1411.9158,1600.7297,1629.1059,1686.7024
8,1405.4733,1149.7048,2283.5912,1436.5230,1454.5650,1559.3381
9,1417.5675,1291.6069,5040.3724,1576.4112,1574.5087,1698.4810
10,1715.3531,1118.5720,1633.2850,1790.1024,1803.5503,2082.9750
11,1478.9052,1400.8489,1927.0032,1714.0550,1745.5500,2418.9109
12,1590.3986,1196.0161,1824.9822,1494.7372,1487.8292,1564.1356
13,1385.8016,1267.2318,1858.8042,1502.2536,1553.1754,1534.7291
14,1729.2947,1208.4144,5112.0003,1730.1431,1693.2925,1689.8290
15,1760.1362,1618.8753,1694.3856,1863.9970,1885.8042,2241.3578
16,1543.6823,1306.3457,1613.0003,1709.6906,1741.3980,1948.0437
17,1288.6657,1151.1832,1468.6533,1515.6715,1565.2994,1722.1629
18,1029.8967,929.4975,1502.3198,1477.3401,1448.4419,1599.8000
19,1360.7476,1089.3659,1636.5994,1538.3105,1589.7365,2189.8537
20,1612.3799,1383.1634,3010.3267,1602.5328,1611.2725,1832.9782
